Episode,Level,SuccessRate,AverageReward,AverageSteps,Deadlocks
2550,easy/level_016.txt,0.0,-1027.55,500.0,0
2550,easy/level_017.txt,0.0,-1023.15,500.0,0
2550,easy/level_018.txt,0.0,-1028.05,500.0,0
2550,easy/level_019.txt,0.0,-1030.0,500.0,0
2550,easy/level_020.txt,0.0,-1030.0,500.0,0
2550,easy/level_021.txt,0.0,-1028.05,500.0,0
2550,easy/level_022.txt,0.0,-1026.1,500.0,0
2550,easy/level_023.txt,0.0,-1028.05,500.0,0
2550,easy/level_024.txt,0.0,-1030.0,500.0,0
2550,easy/level_025.txt,0.0,-1028.05,500.0,0
2550,easy/level_026.txt,0.0,-1010.6,500.0,0
2550,easy/level_027.txt,0.0,-1028.05,500.0,0
2550,easy/level_028.txt,0.0,-1028.05,500.0,0
2600,easy/level_001.txt,0.0,-1026.1,500.0,0
2600,easy/level_002.txt,0.0,-1028.05,500.0,0
2600,easy/level_003.txt,0.0,-1028.05,500.0,0
2600,easy/level_004.txt,0.0,-1030.0,500.0,0
2600,easy/level_005.txt,0.0,-1027.55,500.0,0
2600,easy/level_006.txt,0.0,-1030.0,500.0,0
2600,easy/level_007.txt,0.0,-1026.1,500.0,0
2600,easy/level_008.txt,0.0,-1026.1,500.0,0
2600,easy/level_009.txt,0.0,-1030.0,500.0,0
2600,easy/level_010.txt,0.0,-1025.6,500.0,0
2600,easy/level_011.txt,0.0,-1030.0,500.0,0
2600,easy/level_012.txt,0.0,-1024.15,500.0,0
2600,easy/level_013.txt,0.0,-1028.05,500.0,0
2600,easy/level_014.txt,0.0,-1030.0,500.0,0
2600,easy/level_015.txt,0.0,-1030.0,500.0,0
2600,easy/level_016.txt,0.0,-1030.0,500.0,0
2600,easy/level_017.txt,0.0,-1028.05,500.0,0
2600,easy/level_018.txt,0.0,-1028.05,500.0,0
2600,easy/level_019.txt,0.0,-1030.0,500.0,0
2600,easy/level_020.txt,0.0,-1030.0,500.0,0
2600,easy/level_021.txt,0.0,-1030.0,500.0,0
2600,easy/level_022.txt,0.0,-1030.0,500.0,0
2600,easy/level_023.txt,0.0,-1028.05,500.0,0
2600,easy/level_024.txt,0.0,-1030.0,500.0,0
2600,easy/level_025.txt,0.0,-79.54999999999998,1.0,10
2600,easy/level_026.txt,0.0,-1028.05,500.0,0
2600,easy/level_027.txt,0.0,-1030.0,500.0,0
2600,easy/level_028.txt,0.0,-79.54999999999998,1.0,10
2650,easy/level_001.txt,0.0,-1026.1,500.0,0
2650,easy/level_002.txt,0.0,-1028.05,500.0,0
2650,easy/level_003.txt,0.0,-1028.05,500.0,0
2650,easy/level_004.txt,0.0,-1030.0,500.0,0
2650,easy/level_005.txt,0.0,-1027.55,500.0,0
2650,easy/level_006.txt,0.0,-1030.0,500.0,0
2650,easy/level_007.txt,0.0,-1026.1,500.0,0
2650,easy/level_008.txt,0.0,-1026.1,500.0,0
2650,easy/level_009.txt,0.0,-1030.0,500.0,0
2650,easy/level_010.txt,0.0,-1025.6,500.0,0
2650,easy/level_011.txt,0.0,-1030.0,500.0,0
2650,easy/level_012.txt,0.0,-1024.15,500.0,0
2650,easy/level_013.txt,0.0,-1028.05,500.0,0
2650,easy/level_014.txt,0.0,-1030.0,500.0,0
2650,easy/level_015.txt,0.0,-1030.0,500.0,0
2650,easy/level_016.txt,0.0,-1030.0,500.0,0
2650,easy/level_017.txt,0.0,-1028.05,500.0,0
2650,easy/level_018.txt,0.0,-1028.05,500.0,0
2650,easy/level_019.txt,0.0,-1030.0,500.0,0
2650,easy/level_020.txt,0.0,-1030.0,500.0,0
2650,easy/level_021.txt,0.0,-1030.0,500.0,0
2650,easy/level_022.txt,0.0,-1030.0,500.0,0
2650,easy/level_023.txt,0.0,-1028.05,500.0,0
2650,easy/level_024.txt,0.0,-1030.0,500.0,0
2650,easy/level_025.txt,0.0,-79.54999999999998,1.0,10
2650,easy/level_026.txt,0.0,-1028.05,500.0,0
2650,easy/level_027.txt,0.0,-1030.0,500.0,0
2650,easy/level_028.txt,0.0,-79.54999999999998,1.0,10
2700,easy/level_001.txt,0.0,-1026.1,500.0,0
2700,easy/level_002.txt,0.0,-1030.0,500.0,0
2700,easy/level_003.txt,0.0,-1030.0,500.0,0
2700,easy/level_004.txt,0.0,-1026.1,500.0,0
2700,easy/level_005.txt,0.0,-1027.55,500.0,0
2700,easy/level_006.txt,0.0,-1030.0,500.0,0
2700,easy/level_007.txt,0.0,-1026.1,500.0,0
2700,easy/level_008.txt,0.0,-1025.6,500.0,0
2700,easy/level_009.txt,0.0,-1030.0,500.0,0
2700,easy/level_010.txt,0.0,-1030.0,500.0,0
2700,easy/level_011.txt,0.0,-1030.0,500.0,0
2700,easy/level_012.txt,0.0,-1030.0,500.0,0
2700,easy/level_013.txt,0.0,-1028.05,500.0,0
2700,easy/level_014.txt,0.0,-1030.0,500.0,0
2700,easy/level_015.txt,0.0,-1026.1,500.0,0
2700,easy/level_016.txt,0.0,-1027.55,500.0,0
2700,easy/level_017.txt,0.0,-1028.05,500.0,0
2700,easy/level_018.txt,0.0,-1030.0,500.0,0
2700,easy/level_019.txt,0.0,-1030.0,500.0,0
2700,easy/level_020.txt,0.0,-1030.0,500.0,0
2700,easy/level_021.txt,0.0,-1030.0,500.0,0
2700,easy/level_022.txt,0.0,-1030.0,500.0,0
2700,easy/level_023.txt,0.0,-1030.0,500.0,0
2700,easy/level_024.txt,0.0,-1030.0,500.0,0
2700,easy/level_025.txt,0.0,-1028.05,500.0,0
2700,easy/level_026.txt,0.0,-1010.6,500.0,0
2700,easy/level_027.txt,0.0,-1030.0,500.0,0
2700,easy/level_028.txt,0.0,-1026.1,500.0,0
2750,easy/level_001.txt,0.0,-1026.1,500.0,0
2750,easy/level_002.txt,0.0,-1028.05,500.0,0
2750,easy/level_003.txt,0.0,-1030.0,500.0,0
2750,easy/level_004.txt,0.0,-1030.0,500.0,0
2750,easy/level_005.txt,0.0,-1027.55,500.0,0
2750,easy/level_006.txt,0.0,-1030.0,500.0,0
2750,easy/level_007.txt,0.0,-1010.6,500.0,0
2750,easy/level_008.txt,0.0,-1026.1,500.0,0
2750,easy/level_009.txt,0.0,-1028.05,500.0,0
2750,easy/level_010.txt,0.0,-1028.05,500.0,0
2750,easy/level_011.txt,0.0,-1028.05,500.0,0
2750,easy/level_012.txt,0.0,-1026.1,500.0,0
2750,easy/level_013.txt,0.0,-1028.05,500.0,0
2750,easy/level_014.txt,0.0,-1026.1,500.0,0
2750,easy/level_015.txt,0.0,-1030.0,500.0,0
2750,easy/level_016.txt,0.0,-1026.1,500.0,0
2750,easy/level_017.txt,0.0,-1030.0,500.0,0
2750,easy/level_018.txt,0.0,-1030.0,500.0,0
2750,easy/level_019.txt,0.0,-1026.1,500.0,0
2750,easy/level_020.txt,0.0,-55.000000000003,500.0,0
2750,easy/level_021.txt,0.0,-1028.05,500.0,0
2750,easy/level_022.txt,0.0,-1022.2,500.0,0
2750,easy/level_023.txt,0.0,-1030.0,500.0,0
2750,easy/level_024.txt,0.0,-1028.05,500.0,0
2750,easy/level_025.txt,0.0,-1024.15,500.0,0
2750,easy/level_026.txt,0.0,-1030.0,500.0,0
2750,easy/level_027.txt,0.0,-1026.1,500.0,0
2750,easy/level_028.txt,0.0,-79.59999999999998,2.0,10
2800,easy/level_001.txt,0.0,-1026.1,500.0,0
2800,easy/level_002.txt,0.0,-1028.05,500.0,0
2800,easy/level_003.txt,0.0,-1030.0,500.0,0
2800,easy/level_004.txt,0.0,-1028.05,500.0,0
2800,easy/level_005.txt,0.0,-1027.55,500.0,0
2800,easy/level_006.txt,0.0,-1030.0,500.0,0
2800,easy/level_007.txt,0.0,-39.50000000000305,500.0,0
2800,easy/level_008.txt,0.0,-1028.05,500.0,0
2800,easy/level_009.txt,0.0,-1030.0,500.0,0
2800,easy/level_010.txt,0.0,-1030.0,500.0,0
2800,easy/level_011.txt,0.0,-1030.0,500.0,0
2800,easy/level_012.txt,0.0,-1024.15,500.0,0
2800,easy/level_013.txt,0.0,-1028.05,500.0,0
2800,easy/level_014.txt,0.0,-1030.0,500.0,0
2800,easy/level_015.txt,0.0,-1030.0,500.0,0
2800,easy/level_016.txt,0.0,-1026.1,500.0,0
2800,easy/level_017.txt,0.0,-1030.0,500.0,0
2800,easy/level_018.txt,0.0,-1030.0,500.0,0
2800,easy/level_019.txt,0.0,-1030.0,500.0,0
2800,easy/level_020.txt,0.0,-55.000000000003,500.0,0
2800,easy/level_021.txt,0.0,-1028.05,500.0,0
2800,easy/level_022.txt,0.0,-1022.2,500.0,0
2800,easy/level_023.txt,0.0,-1030.0,500.0,0
2800,easy/level_024.txt,0.0,-1030.0,500.0,0
2800,easy/level_025.txt,0.0,-1028.05,500.0,0
2800,easy/level_026.txt,0.0,-1030.0,500.0,0
